Start : 2025-03-25T15:38:52.506Z
Connection established 
data={"name":"Перетворювач RS485-USB","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":2100,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Вентилятор ВН-2; 220В; 115х115","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":300,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Вентилятор PTF1500 з фільтром та реш.  160х160","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":729.6,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Вентилятор ВЦ-4-75-N2,5; 0,55кВт; 1500об/хв","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":7000,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Роз’єм  RJ-45 мама, на панель","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":200,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Роз’єм RJ-45 папа, на кабель","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":7,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Роз’єм RJ45. Ковпачок","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":1.3,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Кабель мережевий LAN F/UTP-cat5E 4х2 зовнішній","techUnits":"м","techToAcc":1,"accUnits":"м","price":15.8,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Перемикач з ключем BSW10-AKS-2-K02 АKS-22; 1НВ+1НЗ","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":202.4,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Перемикач клавішн. з підсв.; Зел; On/Off; AE-C1353ABNAB","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":250,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Кнопка S2PR-P1K. Нажимна; чорна.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":37.85,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Кнопка S2PR-P1K. Контакт НО SA-CA","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":50.35,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Кнопка S2PR-P1K. Контакт НЗ SA-CB","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":50.35,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-1160М , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":449.08,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-1160ДМ , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":1040,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-1561ДМ , АС220, реверсн. подвійний пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":900,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"ПМЛ-2160ДМ , АС220, пускач магн.","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
